0,1,2,3,4,5,6,7,8,9,10
County Code,County Name,Const Code,Const. Name,CAW Code,CAW Name,Reg. Centre Code,Reg. Centre Name,Polling Station Code,Polling Station Name Name,Registered Voters
049,PRISONS,292,PRISONS,1451,PRISONS,001,SHIMO LA TEWA MAIN,049292145100101,SHIMO LA TEWA MAIN,375
049,PRISONS,292,PRISONS,1451,PRISONS,002,SHIMO LA TEWA WOMEN,049292145100201,SHIMO LA TEWA WOMEN,10
049,PRISONS,292,PRISONS,1451,PRISONS,003,SHIMO LA TEWA MEDIUM,049292145100301,SHIMO LA TEWA MEDIUM,30
049,PRISONS,292,PRISONS,1451,PRISONS,005,KINGORANI PRISON (B),049292145100501,KINGORANI PRISON (B),34
049,PRISONS,292,PRISONS,1451,PRISONS,006,KWALE MAIN PRISON (B),049292145100601,KWALE MAIN PRISON (B),59
049,PRISONS,292,PRISONS,1451,PRISONS,007,KWALE WOMEN,049292145100701,KWALE WOMEN,4
049,PRISONS,292,PRISONS,1451,PRISONS,008,KILIFI PRISON,049292145100801,KILIFI PRISON,48
049,PRISONS,292,PRISONS,1451,PRISONS,009,KALOLENI,049292145100901,KALOLENI,25
049,PRISONS,292,PRISONS,1451,PRISONS,010,MALINDI PRISON (B),049292145101001,MALINDI PRISON (B),154
049,PRISONS,292,PRISONS,1451,PRISONS,011,MALINDI WOMEN,049292145101101,MALINDI WOMEN,13
049,PRISONS,292,PRISONS,1451,PRISONS,012,HOLA PRISON,049292145101201,HOLA PRISON,14
049,PRISONS,292,PRISONS,1451,PRISONS,013,HINDI PRISON,049292145101301,HINDI PRISON,15
049,PRISONS,292,PRISONS,1451,PRISONS,014,TAVETA PRISON,049292145101401,TAVETA PRISON,31
049,PRISONS,292,PRISONS,1451,PRISONS,015,WUNDANYI,049292145101501,WUNDANYI,39
049,PRISONS,292,PRISONS,1451,PRISONS,016,VOI REMAND PRISON,049292145101601,VOI REMAND PRISON,40
049,PRISONS,292,PRISONS,1451,PRISONS,017,MANYANI,049292145101701,MANYANI,189
049,PRISONS,292,PRISONS,1451,PRISONS,018,GARISSA MAIN,049292145101801,GARISSA MAIN,40
049,PRISONS,292,PRISONS,1451,PRISONS,020,WAJIR,049292145102001,WAJIR,9
049,PRISONS,292,PRISONS,1451,PRISONS,021,MANDERA,049292145102101,MANDERA,4
049,PRISONS,292,PRISONS,1451,PRISONS,022,MOYALE PRISON,049292145102201,MOYALE PRISON,6
049,PRISONS,292,PRISONS,1451,PRISONS,023,MARSABIT PRISON,049292145102301,MARSABIT PRISON,26
049,PRISONS,292,PRISONS,1451,PRISONS,024,ISIOLO PRISON,049292145102401,ISIOLO PRISON,31
049,PRISONS,292,PRISONS,1451,PRISONS,025,KANGETA PRISON,049292145102501,KANGETA PRISON,37
049,PRISONS,292,PRISONS,1451,PRISONS,026,MERU MAIN,049292145102601,MERU MAIN,360
